

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
1503B.OP7     STAGE 2 CALIBRATION 1503B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

        Actual 1503B.OP7|
 Year    Catch  MDL Cat | Compare
 ==== ======== ======== |========
1980   57518   65987 |   1.147
1981   54647   56158 |   1.028
1982   51634   55318 |   1.071
1983   58300   63561 |   1.090
1984   78075   82565 |   1.058
1985  112152  103097 |   0.919
1986  129416  117754 |   0.910
1987  112094  115724 |   1.032
1988  113704  113815 |   1.001
1989   98868  103892 |   1.051
1990  116291  107965 |   0.928
1991   97099  101970 |   1.050
1992   98878   96519 |   0.976
1993   86951  100491 |   1.156
1994  122652  105829 |   0.863
1995  106828  121068 |   1.133
1996  161005  151208 |   0.939
1997  169449  155177 |   0.916
1998  150545  143210 |   0.951
1999  105473  123611 |   1.172
2000  116233  127097 |   1.093
2001  154175  151884 |   0.985
2002  187036  173993 |   0.930
2003  189566  179279 |   0.946
2004  149814  159604 |   1.065
2005  134302  156797 |   1.167
2006  203554  159394 |   0.783
2007  110242  142479 |   1.292
2008  147679  140590 |   0.952
2009  135985  153443 |   1.128
2010  203806  170479 |   0.836
2011  163755  153596 |   0.938
2012   78111  127114 |   1.627
2013  164625  143841 |   0.874
2014  157602  162856 |   1.033
2015       0  173286 |  - NA - 

TERMINAL RUN CALIBRATION FOR RBH+RBT
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   1503B.OP7

Year   Specs    TRM Run | Compare
==== ======== ======== |========
1979  107440   75912 |   0.707
1980   91062  120384 |   1.322
1981   97864   79679 |   0.814
1982  150542  149859 |   0.995
1983  151917  137647 |   0.906
1984  155801  175860 |   1.129
1985  137831  133995 |   0.972
1986   76401   91188 |   1.194
1987   97691  109424 |   1.120
1988  146178  146914 |   1.005
1989  181955  174701 |   0.960
1990  220357  224873 |   1.020
1991  302128  314546 |   1.041
1992  288750  270269 |   0.936
1993  271969  273748 |   1.007
1994  180636  185942 |   1.029
1995   93857  107081 |   1.141
1996  105774  112373 |   1.062
1997  147297  157526 |   1.069
1998  195070  170708 |   0.875
1999  105402   99210 |   0.941
2000   39227   40614 |   1.035
2001   89209   94863 |   1.063
2002  167548  163630 |   0.977
2003  217662  188902 |   0.868
2004  261827  280011 |   1.069
2005  157906  162791 |   1.031
2006  197866  193584 |   0.978
2007  121232  125324 |   1.034
2008   99325  105533 |   1.063
2009   92944   74185 |   0.798
2010   95366  106478 |   1.117
2011  163092  151678 |   0.930
2012   82131  114106 |   1.389
2013  181138  142381 |   0.786
2014  120473  150334 |   1.248
2015  105003   91710 |   0.873

TERMINAL RUN CALIBRATION FOR GSH
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   1503B.OP7

Year   Specs   TRM Run | Compare
==== ======== ======== |========
1979   13290   15674 |   1.179
1980   13001   13660 |   1.051
1981   11430    9635 |   0.843
1982   10125    9616 |   0.950
1983   10871   11745 |   1.080
1984   14140   10485 |   0.742
1985   17376   19154 |   1.102
1986   15077   16234 |   1.077
1987   11423   11995 |   1.050
1988    7457    7513 |   1.008
1989   12899   13315 |   1.032
1990   13089   13629 |   1.041
1991   14408   18255 |   1.267
1992   15283   13578 |   0.888
1993   15192   10175 |   0.670
1994   13005   11610 |   0.893
1995    9355   13147 |   1.405
1996   18986   21362 |   1.125
1997   30015   22677 |   0.756
1998   21100   19569 |   0.927
1999   23015   25530 |   1.109
2000   21322   18339 |   0.860
2001   29633   32637 |   1.101
2002   22064   26473 |   1.200
2003   21496   19477 |   0.906
2004   20852   21020 |   1.008
2005   25941   23480 |   0.905
2006   22109   25707 |   1.163
2007   12733   11990 |   0.942
2008   12011   14385 |   1.198
2009   13380   12860 |   0.961
2010   11605   10713 |   0.923
2011   11480   11113 |   0.968
2012    8462    7552 |   0.892
2013    8242    8619 |   1.046
2014   16005   14940 |   0.933
2015       0   18566 |  - NA - 

TERMINAL RUN CALIBRATION FOR NKF
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   1503B.OP7

Year   Specs   TRM Run | Compare
==== ======== ======== |========
1979   77545   86248 |   1.112
1980  107964   95303 |   0.883
1981   83253   93331 |   1.121
1982  103917   96446 |   0.928
1983   77635   98651 |   1.271
1984  127240  107997 |   0.849
1985  130442  122854 |   0.942
1986  104363   98993 |   0.949
1987   60712   69809 |   1.150
1988   44975   56009 |   1.245
1989   71588   72255 |   1.009
1990  102804   79660 |   0.775
1991   41010   52126 |   1.271
1992   27090   34023 |   1.256
1993   35491   29876 |   0.842
1994   28918   29234 |   1.011
1995   24295   26755 |   1.101
1996   30341   31193 |   1.028
1997   44057   38375 |   0.871
1998   41964   43060 |   1.026
1999   43709   42289 |   0.968
2000   35630   44793 |   1.257
2001   71437   59785 |   0.837
2002   62519   57989 |   0.928
2003   33339   38852 |   1.165
2004   18118   23602 |   1.303
2005   20703   23839 |   1.151
2006   38455   34198 |   0.889
2007   39390   37036 |   0.940
2008   33750   34018 |   1.008
2009   25884   30668 |   1.185
2010   41239   37750 |   0.915
2011   40678   40883 |   1.005
2012   41557   40672 |   0.979
2013   39074   38339 |   0.981
2014   31249   34861 |   1.116
2015   39739   40315 |   1.014

TERMINAL RUN CALIBRATION FOR PSF+PSY
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   1503B.OP7

Year   Specs    TRM Run | Compare
==== ======== ======== |========
1979   47879   54797 |   1.144
1980   55783   54967 |   0.985
1981   59748   54033 |   0.904
1982   42558   52303 |   1.229
1983   52346   56360 |   1.077
1984   73476   60836 |   0.828
1985   61405   67913 |   1.106
1986   73676   74696 |   1.014
1987   89950   93288 |   1.037
1988  107760  109393 |   1.015
1989  132991  126483 |   0.951
1990  131175  113696 |   0.867
1991   78815   86680 |   1.100
1992   57081   64802 |   1.135
1993   60902   62380 |   1.024
1994   75276   80668 |   1.072
1995  115106   98128 |   0.853
1996  100783   97004 |   0.963
1997   74486   83056 |   1.115
1998   86710   95363 |   1.100
1999  135932  113876 |   0.838
2000   93738  115359 |   1.231
2001  140850  127925 |   0.908
2002  141090  137268 |   0.973
2003  132044  133926 |   1.014
2004  121612  132858 |   1.092
2005  150845  150926 |   1.001
2006  180230  177975 |   0.987
2007  205607  179908 |   0.875
2008  145290  157001 |   1.081
2009  129251  135532 |   1.049
2010  134477  138039 |   1.026
2011  146289  151174 |   1.033
2012  178583  165503 |   0.927
2013  173195  156616 |   0.904
2014   96442  125755 |   1.304
2015  131300  128255 |   0.977

TERMINAL RUN CALIBRATION FOR PSN
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   1503B.OP7

Year   Specs   TRM Run | Compare
==== ======== ======== |========
1979   27357   26281 |   0.961
1980   23258   21323 |   0.917
1981   11551   15479 |   1.340
1982   13819   17670 |   1.279
1983   26327   21423 |   0.814
1984   19664   20890 |   1.062
1985   25177   23683 |   0.941
1986   22453   25461 |   1.134
1987   34100   31378 |   0.920
1988   32611   33988 |   1.042
1989   40057   36891 |   0.921
1990   31781   32210 |   1.013
1991   28768   28167 |   0.979
1992   21065   21903 |   1.040
1993   16357   17828 |   1.090
1994   20180   19416 |   0.962
1995   22176   20168 |   0.909
1996   18238   19229 |   1.054
1997   17558   18236 |   1.039
1998   21967   21397 |   0.974
1999   25392   23416 |   0.922
2000   19859   23042 |   1.160
2001   27923   24896 |   0.892
2002   25437   24579 |   0.966
2003   17519   22576 |   1.289
2004   30786   23957 |   0.778
2005   14385   20618 |   1.433
2006   23699   21335 |   0.900
2007   20544   22158 |   1.079
2008   28627   22505 |   0.786
2009    9784   15553 |   1.590
2010   13182   13402 |   1.017
2011   15777   14721 |   0.933
2012   14605   14822 |   1.015
2013   15574   13302 |   0.854
2014    5476    8819 |   1.610
2015    7478    7797 |   1.043

TERMINAL RUN CALIBRATION FOR SKG
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   1503B.OP7

Year   Specs   TRM Run | Compare
==== ======== ======== |========
1979   24124   26268 |   1.089
1980   30887   29736 |   0.963
1981   21430   24029 |   1.121
1982   24053   21800 |   0.906
1983   15270   14889 |   0.975
1984   15764   17787 |   1.128
1985   25891   28566 |   1.103
1986   22541   19463 |   0.863
1987   13344   13091 |   0.981
1988   14984   15090 |   1.007
1989   13391   12498 |   0.933
1990   10545   11671 |   1.107
1991    8251    6476 |   0.785
1992    4596    4408 |   0.959
1993    3964    3261 |   0.823
1994    2003    2944 |   1.470
1995    3984    4789 |   1.202
1996   10424    8215 |   0.788
1997    6648   10558 |   1.588
1998   14331   11118 |   0.776
1999    5139    8522 |   1.658
2000   16266   15723 |   0.967
2001   14193   15924 |   1.122
2002   18114   14028 |   0.774
2003   10583   16405 |   1.550
2004   22144   21722 |   0.981
2005   22784   20771 |   0.912
2006   21246   17707 |   0.833
2007   12646   11997 |   0.949
2008   14254   13884 |   0.974
2009   10977   10997 |   1.002
2010    7926    7835 |   0.989
2011    8382   10339 |   1.233
2012   15422   15027 |   0.974
2013   13312   13993 |   1.051
2014   12777   11062 |   0.866
2015   11387    9820 |   0.862

TERMINAL RUN CALIBRATION FOR SNO
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   1503B.OP7

Year   Specs   TRM Run | Compare
==== ======== ======== |========
1979   13112   14340 |   1.094
1980   17712   14251 |   0.805
1981    9592   11579 |   1.207
1982    9120   10136 |   1.111
1983   11124   10031 |   0.902
1984    9180    9261 |   1.009
1985    9099    8593 |   0.944
1986    6989    7512 |   1.075
1987    6657    6932 |   1.041
1988    7193    6682 |   0.929
1989    5712    6328 |   1.108
1990    6839    5765 |   0.843
1991    3918    4561 |   1.164
1992    3225    3835 |   1.189
1993    4454    3925 |   0.881
1994    3619    4160 |   1.149
1995    5405    4404 |   0.815
1996    3560    4282 |   1.203
1997    4201    4607 |   1.097
1998    6631    5512 |   0.831
1999    4955    5798 |   1.170
2000    6377    6579 |   1.032
2001    8686    7572 |   0.872
2002    7421    7468 |   1.006
2003    5783    7519 |   1.300
2004   11000    8120 |   0.738
2005    4963    7318 |   1.475
2006    8647    6853 |   0.793
2007    4265    6200 |   1.454
2008    8396    5892 |   0.702
2009    2368    4362 |   1.842
2010    4361    3507 |   0.804
2011    1907    3281 |   1.721
2012    4957    3803 |   0.767
2013    3746    3718 |   0.993
2014    2470    3326 |   1.347
2015    4159    3809 |   0.916

TERMINAL RUN CALIBRATION FOR WCH
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   1503B.OP7

Year   Specs   TRM Run | Compare
==== ======== ======== |========
1979   24200   26580 |   1.098
1980   31239   26520 |   0.849
1981   23213   23710 |   1.021
1982   19344   19856 |   1.026
1983   15542   19003 |   1.223
1984   21852   19098 |   0.874
1985   21193   22437 |   1.059
1986   23453   31505 |   1.343
1987   44662   46285 |   1.036
1988   78708   64142 |   0.815
1989   77111   66330 |   0.860
1990   47766   59876 |   1.254
1991   50480   56710 |   1.123
1992   69313   58371 |   0.842
1993   60543   59100 |   0.976
1994   46336   52503 |   1.133
1995   52808   49425 |   0.936
1996   60465   49155 |   0.813
1997   25021   36770 |   1.470
1998   24557   24280 |   0.989
1999   14664   20199 |   1.377
2000   22545   21368 |   0.948
2001   23156   26178 |   1.131
2002   34685   32693 |   0.943
2003   41839   38733 |   0.926
2004   40078   41342 |   1.032
2005   42656   43509 |   1.020
2006   52403   41147 |   0.785
2007   24701   34207 |   1.385
2008   27197   31886 |   1.172
2009   39087   34810 |   0.891
2010   39990   38642 |   0.966
2011   38810   39321 |   1.013
2012   43545   37310 |   0.857
2013   25304   37246 |   1.472
2014   44781   38541 |   0.861
2015   38120   42604 |   1.118

TERMINAL RUN CALIBRATION FOR URB
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   1503B.OP7

Year   Specs   TRM Run | Compare
==== ======== ======== |========
1979   89200   87849 |   0.985
1980   76800   82505 |   1.074
1981   66700   79040 |   1.185
1982   79000   92449 |   1.170
1983   86051   68397 |   0.795
1984  131380  127723 |   0.972
1985  196364  229581 |   1.169
1986  281551  295344 |   1.049
1987  420655  392410 |   0.933
1988  339915  376025 |   1.106
1989  261302  216048 |   0.827
1990  153594  161863 |   1.054
1991  103286  100698 |   0.975
1992   81016   76602 |   0.946
1993  102909   93680 |   0.910
1994  132839  128514 |   0.967
1995  106459  110941 |   1.042
1996  143155  179293 |   1.252
1997  161735  157177 |   0.972
1998  141575  112839 |   0.797
1999  165889  184411 |   1.112
2000  156553  152905 |   0.977
2001  232491  258104 |   1.110
2002  276948  286192 |   1.033
2003  373191  369701 |   0.991
2004  362804  342089 |   0.943
2005  278339  272494 |   0.979
2006  230390  232000 |   1.007
2007  114064  105982 |   0.929
2008  196881  210828 |   1.071
2009  212047  208648 |   0.984
2010  324908  280917 |   0.865
2011  322234  359535 |   1.116
2012  294947  257545 |   0.873
2013  784117  747789 |   0.954
2014  684239  738779 |   1.080
2015  500300  489123 |   0.978

TERMINAL RUN CALIBRATION FOR SPR
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   1503B.OP7

Year   Specs   TRM Run | Compare
==== ======== ======== |========
1979   95200   96753 |   1.016
1980   97800  106121 |   1.085
1981   86300   79243 |   0.918
1982  120800  124051 |   1.027
1983   28899   25734 |   0.890
1984   47536   45393 |   0.955
1985   33234   34204 |   1.029
1986   16577   17887 |   1.079
1987    9100    8627 |   0.948
1988   11992   13728 |   1.145
1989   26842   25069 |   0.934
1990   18890   19963 |   1.057
1991   52354   51863 |   0.991
1992   29476   29147 |   0.989
1993   16837   16510 |   0.981
1994   18500   18610 |   1.006
1995   33800   33166 |   0.981
1996   33100   36920 |   1.115
1997   27300   26300 |   0.963
1998   20159   24348 |   1.208
1999   50189   46086 |   0.918
2000   20528   16764 |   0.817
2001  124954  140531 |   1.125
2002  160836  142446 |   0.886
2003  180592  181102 |   1.003
2004  175245  171277 |   0.977
2005   93145   98776 |   1.060
2006   27918   28534 |   1.022
2007   14549   15173 |   1.043
2008   79433   77328 |   0.973
2009   48970   49963 |   1.020
2010  130768  137548 |   1.052
2011   70577   67218 |   0.952
2012   56766   57749 |   1.017
2013   86569   91461 |   1.057
2014  126991  132347 |   1.042
2015  160500  145389 |   0.906

TERMINAL RUN CALIBRATION FOR BON
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   1503B.OP7

Year   Specs   TRM Run | Compare
==== ======== ======== |========
1979   54255   56976 |   1.050
1980   48268   52061 |   1.079
1981   43331   43217 |   0.997
1982   63717   65792 |   1.033
1983   40227   46934 |   1.167
1984   46789   43714 |   0.934
1985   50726   52542 |   1.036
1986   70697   79725 |   1.128
1987  157236  172145 |   1.095
1988  109090   74105 |   0.679
1989   31216   35375 |   1.133
1990   21491   14635 |   0.681
1991   26222   31420 |   1.198
1992   40174   39062 |   0.972
1993   24659   21639 |   0.878
1994   20931   18663 |   0.892
1995   14672   13949 |   0.951
1996   19097   21077 |   1.104
1997   19318   20270 |   1.049
1998   18062   16930 |   0.937
1999   12145   12243 |   1.008
2000    5968   13922 |   2.333
2001   40771   52917 |   1.298
2002   71498   63114 |   0.883
2003   54337   44389 |   0.817
2004   29832   24763 |   0.830
2005   11303   18248 |   1.614
2006    7270    4799 |   0.660
2007    5124   10332 |   2.016
2008   19067   13893 |   0.729
2009   11404   10545 |   0.925
2010   18850   22311 |   1.184
2011   24607   19723 |   0.802
2012   28456   28134 |   0.989
2013   13323   20295 |   1.523
2014   26081   24782 |   0.950
2015   29000   25143 |   0.867

TERMINAL RUN CALIBRATION FOR CWF
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   1503B.OP7

Year   Specs   TRM Run | Compare
==== ======== ======== |========
1979   64445   56454 |   0.876
1980   57332   56080 |   0.978
1981   51469   45688 |   0.888
1982   75683   64974 |   0.859
1983   47783   61527 |   1.288
1984   55576   45316 |   0.815
1985   60254   61134 |   1.015
1986   83974  116721 |   1.390
1987  186764  161616 |   0.865
1988  200792  226507 |   1.128
1989   99586   89073 |   0.894
1990   36643   35881 |   0.979
1991   36330   25542 |   0.703
1992   22403   31772 |   1.418
